abdome	barriga
genética	ciência que estuda a transmissão das características hereditárias (passadas de pais para filhos) ao longo das gerações
genótipo	características pessoais um indivíduo, passadas dos pais para os filhos
gengivite	inflamação nas gengivas
genitália	órgãos sexuais internos e externos tanto no homem quanto na mulher
genoma	conjunto de genes de uma célula ou organismo vivo; uma célula humana contém dois genomas, um materno e outro paterno
germe	organismos muito pequenos, como bactérias, fungos, vírus, parasitas etc. que podem causar doenças
gerontologia	estudo de diferentes fenômenos relacionados ao envelhecimento do ser humano
gerontológica	relacionado à Gerontologia (*Ver Gerontologia no glossário)
gh	hormômio do crescimento; substância que faz as crianças e adolescentes crescerem
glândula	estruturas do corpo humano que liberam substâncias (hormônios) na corrente sanguínea
glândula adrenal	estruturas que produzem e lançam no sangue substâncias que regulam o nosso corpo chamadas hormônios
glândula digestivo	órgãos do corpo humano que produzem e liberam algumas substâncias que ajudam no processo de digestão dos alimentos; o fígado é um exemplo de glândula digestiva
glândula endócrina	estruturas que produzem e lançam no sangue substâncias que regulam o nosso corpo chamadas hormônios
glândula hipófise	localizada na base do crânio, é considerada a glândula mais importante, pois produz vários hormônios (substâncias) que regulam o funcionamento do nosso corpo
glândula lacrimal	pequena estrutura em forma de amêndoa, localizada no olho, que produz lágrimas 
glândula salivar	estruturas localizadas na boca, que produzem saliva para lubrificar a boca e a garganta
glândula sebácea	estruturas localizadas nos pelos em todas as partes do corpo, que produzem e liberam um óleo que lubrifica e protege a pele
glândula sudorípara	estruturas localizadas de baixo da pele que produzem suor; grande parte delas está localizada na testa, nas axilas, na palma das mãos e na planta dos pés
glândula suprarrenal	estruturas que produzem e lançam no sangue substâncias que regulam o nosso corpo chamadas hormônios
glândula tireoide	localizada no pescoço, age na função de órgãos importantes como o coração, cérebro, fígado e rins, além de interferir em várias outras funções como o crescimento das crianças e adolescentes, ciclo menstrual da mulher e muito mais
glaucoma	grupo de doenças nos olhos que pode causar cegueira
glicemia	açúcar no sangue
glicose	açúcar
glicosúria	açúcar na urina
glioblastoma multiforme	tumor mais comum no cérebro
globo pálido	estrutura localizada no cérebro que afeta os movimentos, o equilíbrio e a caminhada
glóbulos branco	defendem o organismo contra infecções como gripes e refriados e outras doenças; o mesmo que leucócitos
glóbulos vermelho	células do sangue importantes para levar oxigênio aos tecidos do corpo; também são responsáveis pela cor vermelha do sangue; o mesmo hemácias ou eritrócitos
glossalgia	dor na língua
gluconato de clorexidina	substância para bochecho, usada para combater infecções na boca
glutamato	*sem definição
gocovri	marca de remédio (amantadina) usado para tratar a Doença de Parkinson e outras doenças  
grupo controlo	grupo de pessoas que não será testado ou receberá o remédio em um experimento ou estudo sobre uma doença; esse grupo toma o que chamamos de placebo (*Ver placebo no glossário)
grupo controlo	grupo de pessoas que não será testado ou receberá o remédio em um experimento ou estudo sobre uma doença; esse grupo toma o que chamamos de placebo (*Ver placebo no glossário)
grupo de controlo	grupo de pessoas que não será testado ou receberá o remédio em um experimento ou estudo sobre uma doença; esse grupo toma o que chamamos de placebo (*Ver placebo no glossário)
grupo de apoio de o idoso	grupo de pessoas que promove ações que buscam melhorar a qualidade de vida dos idosos
grupo de risco	pessoas ou grupos de pessoas sujeitas a fatores (características biológicas e/ou sociais e culturais) que aumentam as chances de elas desenvolverem certas doenças. Os idosos são considerados grupo de risco para várias doenças, como gripe, doenças no coração etc.
halitose	mau hálito
hemácias	células do sangue importantes para levar oxigênio aos tecidos do corpo; também são responsáveis pela cor vermelha do sangue; o mesmo que eritrócitos ou glóbulos vermelhos
hematemese	vômito de sangue
hematologia	estudo do sangue
hematológico	relacionado ao sangue
hematologista	médico que estuda e trata das doenças do sangue
hematoma	quando o sangue que sai da veia acumula em um órgão ou tecido após um trauma. Quando batemos o braço em um objeto e o local fica com uma mancha roxa, é porque sangue se acumulou no local da batida.
hematoma subdural agudo	o sangue acumula entre o cérebro e sua camada de proteção
hematúria	sangue na urina
hemialgia	dor principalmente na cabeça, que pode ser muito forte; também conhecida como enxaqueca
hemianopsia	problema de visão em que metade do campo de visão do olho é afetado por cegueira ou visão reduzida
hemibalismo	movimentos sem controle, rápidos e anormais dos membros do corpo, apenas de um lado do corpo, podendo também ocorrer no tronco e na cabeça; a causa mais comum é o derrame
hemicoreia	movimentos sem controle, rápidos e anormais dos membros do corpo, apenas de um lado, podendo também ocorrer no tronco e na cabeça; a causa mais comum é o derrame
hemicrânia paroxística	crises de dor de cabeça
hemiatrofia	atrofia (falta de desenvolvimento) de metade do corpo ou de uma parte do corpo, como atrofia de metade do rosto ou de metade da língua
hemiparesia	paralisia parcial ou diminuição da força em metade do rosto, em um dos braços ou uma das pernas
hemiplegia	paralisia de um lado do corpo
hemisfério cerebral direito	lado direito do cérebro,  que cuida de habilidades relacionadas ao espaço, reconhecimento de faces (rostos), visualização mental (quando imainamos situações, pessoas e objetos em nossa mente) e música
hemisfério cerebral esquerdo	lado esquerdo do cérebro, que cuida das habilidades de linguagem (fala, escrita, leitura, escuta), matemática e lógica
hemisfério direito	lado direito do cérebro,  que cuida de habilidades relacionadas ao espaço, reconhecimento de faces (rostos), visualização mental (quando imainamos situações, pessoas e objetos em nossa mente) e música
hemisfério esquerdo	lado esquerdo do cérebro
hemisférios cerebral	lado direito e lado esquerdo do cérebro
hemodiálise	tratamento que remove as toxinas (substâncias que provocam danos à saúde) do sangue
hemoglobina	substância de cor vermelha presente no sangue e que transporta oxigênio por todo o corpo; se essa substância estiver baixa, isso pode indicar que a pessoa está com anemia
hemograma	exame de sangue realizado para avaliar a quantidade de células de sangue de uma pessoa, podendo indicar se a pessoa tem doenças como anemia, infecções ou leucemia (tipo de câncer)
hemorragia	sangramento anormal e em grande quantidade
hepatite	inflamação do fígado
hepatoesplenomegalia	aumento do baço e do fígado
hepatotoxidade	dano no fígado causado por substâncias tóxicas
hepatotoxina	qualquer substância tóxica que pode prejudicar o fígado
herança autossômica dominante	*sem definição
herança autossômica recessivo	*sem definição
herança genética	propriedades dos seres vivos de transmitirem suas características aos seus descendentes (filhas e filhos)
herança mendeliano	*sem definição
herbicida	produto químico utilizado na agricultura para o controle de ervas daninhas
hereditariedade	quando os genes e características dos pais são passados para os filhos/filhas
hereditariedade mendeliano	*sem definição
hereditário	passa de pais para filhos/filhas
heredodegeneração	processo degenerativo, que vai piorando com o tempo, e hereditário, que passa de pais para filhos/filhas
hérnia	saliência de um órgão ou parte dele através da parede que o contém; podem aparecer em diferentes regiões do corpo
hidrocefalia	aumento anormal de líquido dentro do crânio
hidropenia	falta de água no corpo (desidratação)
hiperatividade	quando a pessoa fica com energia demais, que pode ser motora (física, muscular) ou mental (muitos pensamentos ao mesmo tempo); agitação
hipercalcemia	nível de cálcio no sangue mais alto que o normal
hipercinesia	movimentos descontrolados, muitos movimentos ao mesmo tempo
hipercinético	relacionado a movimentos anormais
hiperêmese	vômito excessivo
hiperestesia	aumento da sensibilidade dos difefrentes sentidos (audição, olfato, paladar, tato e visão)
hiperglicemia	níveis altos de açúcar no sangue
hiperplasia	aumento do número de células em um órgão ou tecido sem caracterizar câncer
hiperplasia prostática	próstata aumentada, o que pode causar dificuldades para urinar
hiperreflexia	aumento dos reflexos dos músculos e tendões (tecido que prende o músculo ao osso)
hipersexualidade	vontade incontrolável de fazer sexo, que pode afetar o trabalho, a saúde e os relacionamentos
hipertensão	pressão alta
hipertensão arterial sistêmica	pressão alta
hipertensão pulmonar	aumento das pressões nos vasos do pulmão
hipertenso	pessoa com pressão alta
hipertireoidismo	ocorre quando a glândula tireoide (*Ver glândula tireoide no glossário) produz mais hormônios que o nosso corpo precisa
hipertonia	aumento do tônus muscular (contração com o músculo em repouso)
hipertropia	aumento do tecido causado pelo aumento da célula
hiperventilação	aumento da ventilação dos pulmões (renovação do ar) além das necessidades normais do nosso corpo
hipoatitvidade	diminuição da atividade ou falta de interesse por derterminada(s) atividade(s)
hipocalcemia	níveis muito baixos de cálcio no sangue
hipocampo	parte do cérebro responsável pelo aprendizado e memória; o hipocampo é importante para a formação de novas memórias
hipocinesia	capacidade reduzida para se movimentar
hipoestesia	diminuição da sensibilidade dos difefrentes sentidos ((audição, olfato, paladar, tato e visão)
hipófise	localizada na base do crânio, é considerada a glândula mais importante, pois produz vários hormônios que regulam o funcionamento do nosso corpo
hipofonia	redução do volume da voz
hipoglicemia	diminuição da quantidade de açúcar no sangue
hipomimia	dificuldade para mover os músculos da face e fazer gestos
hipoquinesia	capacidade reduzida dos movimentos
hiporreflexia	diminuição dos reflexos dos músculos e tendões (tecido que prende o músculo ao osso)
hiposmia	perda da capacidade de sentir cheiros
hipossalivação	falta de saliva, boca seca
hipotálamo	estrutura localizada no cérebro relacionada com a emoção e o comportamento
hipotensão	pressão baixa
hipotensão ortostática	tontura ao levantar (ficar de pé) porque a pressão cai
hipotensão postural	tontura ao levantar (ficar de pé) porque a pressão cai
hipotenso	pessoa com pressão baixa
hipotireoidismo	ocorre quando a glândula tireoide (*Ver glândula tireoide no glossário) produz nais hormônios do que o corpo precisa
hipotonia	diminuição do tônus muscular (contração com o músculo em repouso)
hipoxemia	falta de oxigênio no sangue
hipoxia	falta de oxigênio suficiente no sangue para que o nosso corpo continue funcionando bem
histerectomia	cirurgia que remove parte ou todo o útero
histerectomia abdominal	cirurgia que remove o útero ou parte dele através de um corte no abdômem (barriga)
histologia	estudo das funções dos tecidos e células do corpo
histológico	relacionado à histologia (*Ver histologia no glossário)
histopatologia	estudo de como uma doença afeta um conjunto de células
histopatológico	relacionado à histopatologia (Ver histopatologia no glossário)
holístico	busca compreender os fenômenos analisando vários fatores e não apenas um lado das coisas
holocraniano	em todo o crânio/cabeça
homostasia	procedimentos feitos para parar um sangramento
hormônio	substâncias que regulam o funcionamento de diversas funções do nosso organismo; funcionam como mensageiros que dizem ao nosso corpo como ele deve funcionar
idiopático	sem causa conhecida
implante dentário	são suportes de metal que substituem a raíz de um dente para que o dentista possa colocar dentes postiços no local
impotência sexual	se refere a qualquer condição ou sintoma que prejudique a vida sexual do indivíduo
imune	estar livre ou protegido de uma doença. A pessoa pode ficar imune depois de pegar a doença e desenvolver anticorpos (defesas) contra a doença.
imunidade	sistema de defesa do organismo; é um conjunto de mecanismos que defendem o nosso corpo de infecções causadas por vírus, bactérias etc
imunoglobulina	proteínas que têm como principal função a defesa do organismo; o mesmo que anticorpos
imunologia	ramo da biologia que estuda os fenômenos, a organização e o funcionamento do sistema imunológico
imunológico	relacionado à imunidade (*Ver imunidade no glossário)
imunossupressor	remédios usados para evitar que o nosso corpo rejeite (não aceite) um órgão transplantado (recebido de outra pessoa)
inapetência	falta de apetite (vontade de comer)
incapacitar	pessoa que não tem condições físicas e/ou psicológicas para realizar determinadas tarefas
incapacitante	aquilo que incapacita; uma doença incapacitante impede que a pessoa consiga realizar suas atividades normais do dia a dia 
incidência	número de casos de uma doença (ou grupo de doenças) numa população definida durante um intervalo de tempo específico
incisão	corte realizado por um médico com o objetivo de permitir o acesso a área a ser operada
inclusões intraneuronal	estruturas que se formam dentro dos neurônios (*Ver neurônios no glossário)
incontinência de urgência	vontade forte de urinar, de uma hora para outra, causada por contrações na bexiga e com vazamentos de urina antes que a pessoa consiga chegar ao banheiro
incontinência fecal	a pessoa não consegue controlar a eliminação das fezes
incontinência urinária	perda de controle da bexiga, que pode ser desde gotas de xixi após espirrar, tossir ou rir até a total  falta de capacidade de controlar a urina
índice de apgar	medida que avalia como está um bebê recém-nascido, feita 1 minuto após o nascimento e repetida depois de 5 minutos
índice de lawton	mede a capacidade dos idosos de realizarem atividades mais complexas que as atividades básicas da vida diária
índice glicêmico	mede o tempo que o carboidrato de um alimento demora para ser absorvido pelo intestino
infarte	ataque do coração; ocorre quando o fluxo de sangue deixa de chegar ao músculo do coração, fazendo com que esse músculo seja danificado ou morra
infarto	ataque do coração; ocorre quando o fluxo de sangue deixa de chegar ao músculo do coração, fazendo com que esse músculo seja danificado ou morra
infarto de o miocárdio	ataque do coração; ocorre quando o fluxo de sangue deixa de chegar ao músculo do coração, fazendo com que esse músculo seja danificado ou morra
infecção	entrada e o desenvolvimento de um agente infeccioso (bactérias, vírus, entre outros) no organismo ou a multiplicação de um desses agentes que já esteja no nosso corpo
infecção endêmica	quando a doença está presente em uma área/região sempre, o tempo todo, durante anos e anos. A dengue é uma doença endêmica no Brasil, pois está presente aqui por muitos anos.
infecção urinária	infecção causada quando bactérias que vivem no nosso corpo vão para a bexiga, podendo chegar até os rins, causando dor e queimação para urinar; a infecção é mais leve na bexiga, mas pode ser grave quando chega aos rins
infeccioso	que causa infecção
infectologia	especialidade médica que estuda e trata doenças causadas por vírus, bactérias, protozoários, fungos e outros animais
infectologista	médico que estuda e trata doenças causadas por vírus, bactérias, protozoários, fungos e outros animais
inflamação	é uma reação de defesa do nosso corpo diante de uma agressão, que pode vir de agentes físicos (cortes, contusões, queimaduras), químicos (agentes irritantes, corrosivos etc.) e biológicos (infecções em geral causadas por vírus, bactérias etc.)
inflamatório	que causa inflamação (*Ver inflamação no glossário)
informação tóxico farmacológica	*sem definição
infraumbilical	localizado abaixo do umbigo
infusão	introduzir fluido (líquido) nas veias ou nos tecidos do corpo
inibidor	elementos capazes de diminuir ou interromper a atividade de uma substância
insônia	dificuldade para pegar no sono e/ou continuar dormindo
instabilidade postural	dificuldade para manter a postura (tendência de cair para a frente e para trás)
insuficiência cardíaca	condição em que o coração não consegue de bombear a quantidade de sangue necessária para o corpo
insuficiência renal	problema com o funcionamento dos rins
insulina	hormônio que controla a quantidade de glicose (açúcar) no sangue
interação medicamentoso	quando há uso de vários remédios juntos e  o efeito de um dos remédios pode atrapalhar o efeito do outro
intercostal	entre as costelas
internação hospitalar	pacientes que são admitidos no hospital para ocupar um leito por um período igual ou maior que 24 horas
intestino	órgão em forma de tubo que vai desde o final do estômago até o ânus, permitindo a passagem dos alimentos digeridos, facilitando a absorção dos nutrientes e a eliminação dos resíduos (pelas fezes)
intestino delgar	primeira parte do intestino, que liga o estômago ao intestino grosso, e a mais comprida, onde ocorre a a absorção de parte da água e da maior parte dos nutrientes dos alimentos
intestino grosso	segunda parte do intestino e a menor, mas a mais importante para absorver a água
intraçar	dentro da célula
intracraniano	dentro do crânio
intramuscular	injeção aplicada dentro de um músculo
intratável	que não tem tratamento
intravenoso	injeção aplicada dentro das veias; o mesmo que endovenoso
intolerância a o lactose	quando o organismo não consegue digerir o açúcar presente no leite, chamado de lactose, causando sintomas como cólica, gases e diarreia
introlerância a o glúten	quando o organismo não consegu digerir o glúten, que é uma proteína presente no trigo, no centeio e na cevada; nessas pessoas o glúten danifica as paredes do intestino delgado, provocando diarreia, dor e inchaço abdominal, além de dificultar a absorção de nutrientes
introlerância a o medicamento	quando o organismo da pessoa não aceita bem o remédio e ela passa mal, podendo vomitar, ter diarreia e/ou dor de cabeça; em casos mais graves a pessoa pode ter uma reação alérgica ao remédio
intolerância medicamentoso	quando o organismo da pessoa não aceita bem o remédio e ela passa mal, podendo vomitar, ter diarreia e/ou dor de cabeça; em casos mais graves a pessoa pode ter uma reação alérgica ao remédio
íntrons	regiões do DNA que não codificam proteínas
intubar	colocar tubo ou sonda no paciente; o mesmo que entubar
intubação	procedimento em que o médico insere um tubo na traqueia para ajudar o paciente a respirar; o mesmo que entubação
intubação orotraqueal	procedimento em que o médico insere um tubo na traqueia para ajudar o paciente a respirar; o mesmo que entubação
intubação traqueal	procedimento em que o médico insere um tubo na traqueia para ajudar o paciente a respirar; o mesmo que entubação
intubação endrotraqueal	procedimento em que o médico insere um tubo na traqueia para ajudar o paciente a respirar; o mesmo que entubação
ipdm	Instabilidade Postural e Dificuldade na Marcha: desequilíbrio e dificuldade para caminhar
íris	parte mais visível (e colorida) do olho, e tem como função principal controlar os níveis de luz
isquemia cardíaca	acontece quando o sangue não consegue passar pelos vasos que levam sangue até o coração; geralmente, é causada pela presença de placas de gordura dentro dos vasos, que quando não são tratadas podem romper e entupir o vaso, causando dor e aumentando as chances de infarto
isquemia cerebral	acontece quando não chega sangue suficiente até o cérebro, diminuindo a quantidade de oxigênio que chega ao cérebro
isquemia de o miocárdio	acontece quando o sangue não consegue passar pelos vasos que levam sangue até o coração; geralmente, é causada pela presença de placas de gordura dentro dos vasos, que quando não são tratadas podem romper e entupir o vaso, causando dor e aumentando as chances de infarto
isquemia	quando o sangue não chega a um órgão ou tecido do corpo
jejum	deixar de comer por períodos do dia; pode ser por algumas horas, um dia inteiro ou dias
janela imunológica	período entre o contato com o agente infeccioso (vírus, bactéria etc.) e o tempo que o organismo leva para produzir quantidade suficiente de anticorpos (defensores) contra a infecção capazes de serem identificadas nos exames feitos em laboratório
joelho fletido	joelho(s) inclinado(s)
lacrimal	relacionado à lágrima
lacrimejamento	grande volume de lágrimas nos olhos
labirinto	estrutura da orelha interna formada pela cóclea (responsável pela audição/ouvir) e pelo vestíbulo e canais semicirculares (responsáveis pelo equilíbrio)
labirintite	infecção ou inflamação de uma estrutura interna da orelha chamada de labirinto, que é responsável pela audição (como ouvimos) e pelo equilíbrio do corpo
laparotomia	técnica cirúrgica que faz um corte no abdômem (barriga) para o médico ter acesso aos órgãos internos da região
lapso de memória	falhas na memória; esquecimento
laringe	órgão localizado na região da garganta, entre a traqueia e a base da língua, que ajuda na respiração e produz sons
laxante	remédio ou substância que estimula o movimento e a eliminação das fezes
laxativo	remédio ou substância que estimula o movimento e a eliminação das fezes
lesão	ferimento, machucado
letalidade	representa o risco que as pessoas com uma doença têm de morrer por essa mesma doença
letargia	estado de cansaço com diminuição da energia, da capacidade de pensar e da motivação
leucemia	tipo de câncer que afeta as células do sangue, também conhecidas como leucócitos, que são as células de defesa do organismo
leucócitos	defendem o organismo contra infecções, doenças, alergias, resfriados; o mesmo que glóbulos brancos
leucopenia	diminuição na contagem de glóbulos brancos (leucócitos); número de células de defesa do sangue abaixo do normal
levodopa	remédio que aumenta a quantidade de dopamina (*Ver dopamina no glossário) no corpo humano
ligamento	estrutura que prende um osso ao outro
linfócitos	tipo de célula de defesa do organismo, que atua contra doenças como câncer e infecções causadas por vírus, como as gripes; fazem parte dos glóbulos brancos
linfoma	tipo de câncer que afeta os linfócitos, que são células responsáveis por proteger o corpo de infecções e doenças
linfonodo	pequenas estruturas (glândulas) que tem a função de defender o organismo de infecções
líquido cefalorraquidiano	líquido que banha o cérebro e a medula espinhal
líquido cérebro espinal	líquido que banha o cérebro e a medula espinhal
líquor	líquido que banha o cérebro e a medula espinhal
lipídeo	o mesmo que gordura
lipídio	o mesmo que gordura
lobo frontal	parte do cérebro responsável pela coordenação motora voluntária (movimentos que queremos fazer), pela coordenação dos músculos, pelos movimentos da cabeça e do pescoço e pelas funções da linguagem (como nos comunicamos)
lóbulo frontal	parte do cérebro responsável pela coordenação motora voluntária (movimentos que queremos fazer), pela coordenação dos músculos, pelos movimentos da cabeça e do pescoço e pelas funções da linguagem (como nos comunicamos)
lobo occipital	parte do cérebro responsável por perceber e reconhecer pessoas e objetos; diretamente ligado ao nosso sentido da visão (como enxergamos)
lóbulo occipital	parte do cérebro responsável por perceber e reconhecer pessoas e objetos; diretamente ligado ao nosso sentido da visão (como enxergamos)
lobo parietal	parte do cérebro responsável por processar as sensações (sentir um abraço), as memórias (lembrar o nome de um amigo ou de um momento feliz) e a orientação espacial (saber onde está em uma nova cidade)   
lóbulo parietal	parte do cérebro responsável por processar as sensações (sentir um abraço), as memórias (lembrar o nome de um amigo ou de um momento feliz) e a orientação espacial (saber onde está em uma nova cidade)   
lobo temporal	localizados dos dois lados do cérebro, são responsáveis por várias funções, como reconhecer rostos, usar a linguagem, compreender sons, manter o equilíbrio e regular as emoções (motivação, raiva, ansiedade, prazer etc.)
lóbulo temporal	localizados dos dois lados do cérebro, são responsáveis por várias funções, como reconhecer rostos, usar a linguagem, compreender sons, manter o equilíbrio e regular as emoções (motivação, raiva, ansiedade, prazer etc.)
lombalgia	dor da região lombar da coluna; dor nas costas
lombar	parte de baixo das costas/coluna
lrrk2	gene considerado pelos especialistas como uma das causas mais comuns da Doença de Parkinson
luxação	lesão (machucado) em que uma articulação (junta) é deslocada da posição normal, provocando dor, limitação nos movimentos, inchaços e hematomas (machas roxas)
macrogol	remédio para tratar prisão de ventre em crianças e adultos
macroscópico	grande o suficiente para ver a olho nu (sem uso de instrumentos)
magnésio	mineral encontrado em vários alimentos como sementes, amendoim e leite, e que tem várias funções no organismo, como regular o funcionamento dos nervos e dos músculos e ajudar no controle do açúcar no sangue
mal de alzheimer	nome a ser evitado por poder causar preconceito ou discriminação. Usar Doença de Alzheimer ou só Alzheimer.
mal de parkinson	nome a ser evitado por poder causar preconceito ou discriminação; usar Doença de Parkinson (*Ver Doença de Parkinson no glossário)
malformação congênita	defeito de nascença, transmitido pelos  pais ou produzido por algo no meio ambiente durante a gravidez
mandíbula	parte dos ossos da cabeça que se mexe quando a pessoa fala ou come, queixada
manifestações clínicas	conjunto de sinais e sintomas de uma doença
manobra de valsava	quando a pessoa assopra o ar para fora estando com a boca e e o nariz tapados e sente o ar forçar os ouvidos
manômetro	aparelho usado para medir pressão de líquidos e gases
marcar passo	aparelho colocado dentro do peito da pessoa, em uma operação, para ajudar o coração a bater de modo normal
marcha	movimento da caminhada de uma pessoa
marcha patológica	movimento anormal da caminhada de uma pessoa
máscara parkisoniana	sintoma da doença de Parkinson e outras doenças; o rosto parece uma máscara porque fica sem expressão, e o olhar parado, vago e fixo
massa branco	parte do cérebro que funciona quando a pessoa quer fazer algo
massa cinzento	parte do cérebro que coordena as atividades dos músculos da pessoa
mastigação	ato de esmagar a comida com os dentes dentro da boca
material genético	conjunto de genes de um organismo vivo
medicação	remédio
medicalização	quando o modo de vida dos homens é governado pela medicina, quanto a ideias, regras de higiene, de moral e de costumes
medicamento de uso contínuo	remédio que a pessoa não pode parar de tomar nunca, para não ficar doente ou morrer
medicamento genérico	remédio com a mesma fórmula e efeito  de um outro remédio original, de referência, sem o nome de fantasia
medula adrenal	a pesquisar
medula espinal	tem a função de enviar mensagens de partes do corpo até o cérebro para produzir movimentos e reflexos do nosso corpo
medula espinhal	tem a função de enviar mensagens de partes do corpo até o cérebro para produzir movimentos e reflexos do nosso corpo
medula oblongo	liga e faz a comunicação entre o cérebro e a medula espinhal
medula óssea	tecido localizado dentro dos ossos, também conhecido como tutano, que produz células de sangue
melanina	substância que dá cor à pele e aos cabelos da pessoa
melanócito	célula que fabrica a substância que dá cor à pele e aos cabelos da pessoa
melanona	câncer de pele muito perigoso
melanúria	quando a urina fica escura porque apresenta a substância que dá cor à pele e aos cabelos da pessoa
melatonina	hormônio que organiza sas funções do corpo quando estamos acordados e durante o sono
melena	fezes escuras por causa de sangue ou hemorragia
membrana celular	estrutura que tem em volta da célula, funcionando como barreira e filtro
membrana plasmática	estrutura que separa a célula do ambiente; é uma camada muito fina e delicada que "fiscaliza" todas as substâncias e partículas que entram e saem da célula
membro inferior	quadril, pernas e pés
membro superior	braços, antebraços, punhos e mãos
meninge	três camadas que envolvem e protegem o cérebro, a medula espinhal e outras partes do sistema nervoso central
meningite	inflamação das camadas de proteção que envolvem o cérebro dentro da cabeça da pessoa
menopausa	fase da vida  em que a mulher para de ter menstruação todo o mês e que não consegue mais  engravidar
mesencéfalo	a pesquisar
mesilato de rasagilina	medicamento ver
metabolismo	reações que acontecem nas células do nosso corpo e que transformam o que a pessoa come em energia
metástase	quando um câncer que se espalha pelo corpo da pessoa
metoclopramida	remédio para tratar enjoos, ânsias e vômitos
mialgia	dor nos músculos
miastenia	fraqueza dos músculos com paralisia que vai aumentando em diferentes partes do corpo, principalmente no  rosto, língua, garganta
micção	urinar, fazer xixi
microalbuminúria	a pesquisar
micróbio	organismos muito pequenos, que não se consegue enxergar, como vírus e bactérias
microbioma	a pesquisar
microbiota intestinal	conjunto organismos muito pequenos que vivem em nosso intestino; quando estão em harmonia ajudam no metabolismo e nas defesas do corpo, quando se desequilibram podem causar doenças
micróglia	a pesquisar
micrografia	a pesquisar
micronutriente	a pesquisar
microrganismo	a pesquisar
micro organismo	a pesquisar
microscópico	muito pesqueno, visto apenas com um microscópio (aparelho com lentes que permite a pessoas enxergar coisas muito pequenas)
microscópio	aparelho com lentes que permite a pessoa enxergar coisas muito pequenas
mielina	proteção que fica em volta dos nervos
miocárdio	músculo que controla as contrações (batimentos) do coração
miocimia	a pesquisar
mioclonia	a pesquisar
miologia	estudo dos músculos
miomatose	a pesquisar
miopatia	qualquer doença nos músculos
miorrexia	ruptura (rompimento) de um músculo
miosite	inflamação de um músculo
miossarcoma	tumor, câncer no músculo
mitocôndria	organismo muito pequeno que converte os alimentos que comemos em energia para as células
molécula	a menor partícula em que um elemento  pode ser dividido sem mudar suas propriedades; é como se fossem pequenos tijolos, que não podem ser quebrados, de uma estrutura maior
moléstia	doença
monoplegia	paralisia (perda do movimento) de um membro do corpo da pessoa
morbidade	número de casos de uma doença em uma população
mórber	que tem a ver com a morte
morfina	remédio muito forte usado para aliviar dores que causam muito sofrimento
motricidade	movimentação do corpo
movimento voluntário	movimento(s) do corpo que se realizam por vontade própria
movimento involuntário	movimento(s) do corpo que acontecem sem pessoa desejar
mptp	a pesquisar
muco	ranho ou secreção
mucosa	revestimento úmida da pele, como dentro do nariz e boca
mucosite	inflamação dos revestimentos úmidos da pele, como dentro do nariz e boca
multifatorial	que tem vários fatores (coisas) envolvidos
muscular	a pesquisar
músculo	os músculos são como o motor de um carro, pois proporcionam a força necessária para movimentar as várias partes do corpo e para manter o equilíbrio
músculo estriar cardíaco	músculo que controla as contrações produzidas pelos batimentos do coração; o mesmo que miocárdio
músculo estriar	músculos voluntários que movem os ossos e dão sustentação ao esqueleto
músculo estriar esquelético	músculos voluntários que movem os ossos e dão sustentação ao esqueleto
músculo esquelético	músculos voluntários (que controlamos) que movem os ossos e dão sustentação ao esqueleto
músculo visceral	músculos involuntários (que não controlamos) que movimentam os órgãos internos do nosso corpo, como o estômago etc.
músculo não estriar	músculos involuntários (que não controlamos) que movimentam os órgãos internos do nosso corpo, como o estômago etc.
músculo liso	músculos involuntários (que não controlamos) que movimentam os órgãos internos do nosso corpo, como o estômago etc.
mutação	alteração, mudança
mutação genética	corresponde à alteração de um gene, podendo afetar seu funcionamento normal
nac	a pesquisar
narcolepsia	quando a pessoa adormece de repente mas logo acorda
nasogástrico	do anriz e do estômago
náusea	enjoo ou vontade de vomitar
nb	a pesquisar
necropsia	exame de um corpo morto
necrose	morte de uma célula
nefrolitíase	pedra nos rins
nefrologia	estudo do rim, suas funções e doenças
nefrologista	médico que trata doenças dos rins
néfron	célula do rim
nefrose	perturbação renal
neoadjuvante	tratamento inicial e preparatório para um outro principal
neoestriar	a pesquisar
neoplasia	crescimento anormal de um grupo de células; o mesmo que tumor
neoplasma	aumento anormal, pode ser um tumor (*definição de tumor) ou um cisto (*definição de cisto)
nerlurin	a pesquisar
nervo	são semelhantes a fios que se dividem e se ligam a quase todas as partes do corpo, transporando mensagens dos órgãos dos sentidos para o cérebro e instruções do cérebro para outras partes do corpo
nervo craniano	a pesquisar
nervo eferente	a pesquisar
nervo espinhal	a pesquisar
nervo facial	a pesquisar
nervo óptico	a pesquisar
nervo periférico	a pesquisar
nervo radial	a pesquisar
nervo aferente	a pesquisar
neuralgia	dor em um nervo
neurite	inflamação em um nervo
neuroacantocitose	a pesquisar
neurocirurgião	médico que opera em casos de problemas no cérebro e em outras parte sistema nervoso central
neurocomportamental	a pesquisar
neurodegeneração	a pesquisar
neurodegenerativo	a pesquisar
neuroendoscopia	a pesquisar
neuroestimulador	a pesquisar
neurofarmacologia	a pesquisar
neuróglia	a pesquisar
neuroléptico	a pesquisar
neurologia	estudo do sistema nervoso, suas funções e doenças
neurologista	médico especializado no estudo do sistema nervoso, suas funções e doenças
neuroma	a pesquisar
neuromuscular	a pesquisar
neurônio	
